t2;d2;t3;d3;t6;d6;t7;d7;t8;d8
125;184;125;184;125;184;125;184;125;184
250;276;250;276;250;184;250;184;250;184
375;276;375;276;375;184;375;276;375;276
500;276;500;276;500;184;500;276;500;276
625;276;625;276;625;230;625;276;625;276
750;322;750;276;750;230;750;276;750;276
875;322;875;276;875;276;875;276;875;276
1000;368;1000;368;1000;276;1000;276;1000;276
1125;368;1125;368;1125;276;1125;276;1125;276
1250;368;1250;368;1250;276;1250;368;1250;276
1375;368;1375;368;1375;276;1375;368;1375;276
1500;368;1500;368;1500;276;1500;368;1500;276
1625;368;1625;368;1625;276;1625;368;1625;276
1750;368;1750;368;1750;276;1750;368;1750;276
1875;414;1875;368;1875;276;1875;368;1875;276
2000;414;2000;368;2000;276;2000;368;2000;368
2125;414;2125;368;2125;276;2125;368;2125;368
2250;414;2250;368;2250;276;2250;368;2250;368
2375;414;2375;368;2375;276;2375;368;2375;368
2500;414;2500;368;2500;276;2500;368;2500;368
2625;414;2625;414;2625;276;2625;368;2625;368
2750;414;2750;414;2750;276;2750;368;2750;368
2875;414;2875;414;2875;276;2875;368;2875;368
3000;460;3000;414;3000;276;3000;368;3000;368
3125;460;3125;414;3125;276;3125;368;3125;368
3250;460;3250;460;3250;276;3250;368;3250;368
3375;460;3375;460;3375;322;3375;368;3375;368
3500;460;3500;460;3500;322;3500;460;3500;368
3625;460;3625;460;3625;322;3625;460;3625;368
3750;460;3750;460;3750;322;3750;460;3750;368
3875;460;3875;460;3875;322;3875;460;3875;368
;;;;4000;368;;;4000;368
;;;;4125;368;;;4125;368
;;;;4250;368;;;4250;368
;;;;4375;368;;;4375;368
;;;;;;;;4500;368
;;;;;;;;4625;460
;;;;;;;;4750;460